Area	ImageJ	Crofton2	Crofton4
7857.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7855.000	330.291	314.159	314.802
7853.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7841.000	329.120	314.159	313.691
7841.000	329.120	314.159	313.691
7845.000	329.120	314.159	313.691
7859.000	329.120	314.159	313.691
7858.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7853.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7855.000	329.120	314.159	313.691
7859.000	329.120	314.159	313.691
7844.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7853.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7850.000	329.706	314.159	314.247
7846.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7844.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7857.000	330.291	314.159	314.802
7857.000	330.291	314.159	314.802
7852.000	329.120	314.159	313.691
7857.000	330.291	314.159	314.802
7855.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7849.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7855.000	330.291	314.159	314.802
7859.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7856.000	329.706	314.159	314.247
7862.000	329.120	314.159	313.691
7858.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7860.000	329.706	314.159	314.247
7846.000	329.120	314.159	313.691
7855.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7858.000	330.291	314.159	314.802
7854.000	330.291	314.159	314.802
7851.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7849.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7840.000	329.120	314.159	313.691
7841.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7861.000	329.120	314.159	313.691
7852.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7852.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7854.000	329.120	314.159	313.691
7855.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7852.000	329.706	314.159	314.247
7849.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7858.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7858.000	330.291	314.159	314.802
7846.000	329.120	314.159	313.691
7858.000	329.120	314.159	313.691
7852.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7854.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7856.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7856.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7858.000	329.120	314.159	313.691
7860.000	329.120	314.159	313.691
7856.000	330.291	314.159	314.802
7856.000	330.291	314.159	314.802
7860.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7842.000	329.120	314.159	313.691
7860.000	329.120	314.159	313.691
7851.000	329.706	314.159	314.247
7848.000	329.706	314.159	314.247
7849.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7839.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7849.000	329.706	314.159	314.247
7851.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7854.000	330.291	314.159	314.802
7854.000	329.120	314.159	313.691
7861.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7853.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7857.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7842.000	329.120	314.159	313.691
7855.000	330.291	314.159	314.802
7853.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7861.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7846.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7856.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7858.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7857.000	329.120	314.159	313.691
7858.000	330.291	314.159	314.802
7855.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7841.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7860.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7846.000	329.120	314.159	313.691
7849.000	329.120	314.159	313.691
7838.000	329.120	314.159	313.691
7859.000	329.120	314.159	313.691
7858.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7852.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7858.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7840.000	329.120	314.159	313.691
7856.000	330.291	314.159	314.802
7853.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7855.000	330.291	314.159	314.802
7859.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7841.000	329.120	314.159	313.691
7858.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7856.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7860.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7853.000	330.291	314.159	314.802
7856.000	329.706	314.159	314.247
7853.000	329.120	314.159	313.691
7852.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7849.000	329.120	314.159	313.691
7854.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7847.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7853.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7852.000	330.291	314.159	314.802
7855.000	330.291	314.159	314.802
7855.000	329.706	314.159	314.247
7861.000	329.120	314.159	313.691
7846.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7850.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7847.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7848.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7852.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7859.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7857.000	330.291	314.159	314.802
7853.000	330.291	314.159	314.802
7854.000	330.291	314.159	314.802
7856.000	329.706	314.159	314.247
7852.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7854.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7838.000	329.120	314.159	313.691
7858.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7854.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7857.000	329.120	314.159	313.691
7856.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7849.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7854.000	329.120	314.159	313.691
7850.000	329.120	314.159	313.691
7839.000	329.120	314.159	313.691
7854.000	329.120	314.159	313.691
7852.000	330.291	314.159	314.802
7853.000	330.291	314.159	314.802
7859.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7853.000	329.120	314.159	313.691
7848.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7846.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7859.000	329.120	314.159	313.691
7857.000	329.120	314.159	313.691
7855.000	330.291	314.159	314.802
7860.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7860.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7860.000	329.120	314.159	313.691
7849.000	329.706	314.159	314.247
7844.000	329.120	314.159	313.691
7849.000	329.120	314.159	313.691
7856.000	330.291	314.159	314.802
7851.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7852.000	329.706	314.159	314.247
7854.000	330.291	314.159	314.802
7855.000	329.706	314.159	314.247
7854.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7839.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7849.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7859.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7848.000	329.120	314.159	313.691
7852.000	329.706	314.159	314.247
7848.000	329.120	314.159	313.691
7859.000	329.706	314.159	314.247
7857.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7855.000	330.291	314.159	314.802
7853.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7847.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7855.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7852.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7860.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7855.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7841.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7859.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7857.000	329.120	314.159	313.691
7850.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7847.000	329.120	314.159	313.691
7857.000	329.120	314.159	313.691
7852.000	330.291	314.159	314.802
7859.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7861.000	329.706	314.159	314.247
7853.000	329.120	314.159	313.691
7849.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7855.000	329.120	314.159	313.691
7857.000	329.120	314.159	313.691
7860.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7858.000	329.706	314.159	314.247
7849.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7859.000	330.291	314.159	314.802
7856.000	330.291	314.159	314.802
7860.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7854.000	330.291	314.159	314.802
7856.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7860.000	329.706	314.159	314.247
7857.000	329.120	314.159	313.691
7859.000	329.706	314.159	314.247
7852.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7847.000	329.120	314.159	313.691
7859.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7859.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7854.000	329.120	314.159	313.691
7849.000	329.120	314.159	313.691
7842.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7851.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7852.000	329.120	314.159	313.691
7853.000	329.706	314.159	314.247
7850.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7852.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7847.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7855.000	330.291	314.159	314.802
7839.000	329.120	314.159	313.691
7858.000	329.120	314.159	313.691
7854.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7855.000	330.291	314.159	314.802
7850.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7847.000	329.120	314.159	313.691
7848.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7838.000	329.120	314.159	313.691
7857.000	329.706	314.159	314.247
7842.000	329.120	314.159	313.691
7855.000	330.291	314.159	314.802
7855.000	329.706	314.159	314.247
7843.000	329.120	314.159	313.691
7841.000	329.120	314.159	313.691
7856.000	329.120	314.159	313.691
7849.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7841.000	329.120	314.159	313.691
7859.000	329.120	314.159	313.691
7858.000	329.706	314.159	314.247
7854.000	329.120	314.159	313.691
7855.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7855.000	329.120	314.159	313.691
7856.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7858.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7859.000	329.120	314.159	313.691
7856.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7850.000	329.706	314.159	314.247
7857.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7859.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7857.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7841.000	329.120	314.159	313.691
7855.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7859.000	329.120	314.159	313.691
7852.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7856.000	329.706	314.159	314.247
7860.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
7846.000	329.120	314.159	313.691
7850.000	329.120	314.159	313.691
7847.000	329.120	314.159	313.691
7852.000	330.291	314.159	314.802
7853.000	330.291	314.159	314.802
7853.000	330.291	314.159	314.802
7854.000	329.706	314.159	314.247
7853.000	329.706	314.159	314.247
7854.000	330.291	314.159	314.802
7859.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7856.000	330.291	314.159	314.802
7859.000	329.706	314.159	314.247
7856.000	330.291	314.159	314.802
7855.000	329.706	314.159	314.247
7855.000	330.291	314.159	314.802
7858.000	329.120	314.159	313.691
7860.000	329.706	314.159	314.247
7854.000	329.706	314.159	314.247
7859.000	329.706	314.159	314.247
7841.000	329.120	314.159	313.691
7859.000	329.120	314.159	313.691
7854.000	330.291	314.159	314.802
7856.000	330.291	314.159	314.802
7857.000	329.706	314.159	314.247
7855.000	329.706	314.159	314.247
7849.000	329.120	314.159	313.691
7856.000	330.291	314.159	314.802
7853.000	329.706	314.159	314.247
7861.000	329.706	314.159	314.247
7856.000	329.120	314.159	313.691
7856.000	329.120	314.159	313.691
7848.000	329.120	314.159	313.691
7854.000	329.706	314.159	314.247
